,GD,mammalTaxa,mammalSeqs,Dist,PD,nTaxa,GlobalExtreme_prTrendExt,GlobalExtreme_prVarExt,GlobalExtreme_tsTrendExt,GlobalExtreme_tsVarExt,kk10,HFP2009,GDsqrt,TaxonComplete
8.0,0.007898831922361889,4,82,321.310098172763,3479.3660954099996,232,4.512611485552043e-05,0.2255016714334488,0.00023839881760068243,0.3771306872367859,-866.8339178276117,4.554398536682129,0.08887537298015626,0.016597510373443983
33.0,0.0009125475285171103,6,10,312.8222218446266,2885.0191235799994,176,3.910365194315091e-05,0.2374927252531052,-1.6056932508945465e-05,0.4568871855735779,-8.305921712947475,5.756895542144775,0.030208401621355446,0.03296703296703297
10.0,0.006705939158626693,39,336,242.45581326387133,5806.729349979999,454,9.481866982241627e-06,0.3197914659976959,0.00016596993373241276,0.409248948097229,-356.594030859331,8.693877220153809,0.08188979886790963,0.08091286307053942
31.0,0.0661596958174905,1,2,598.8234530538354,3104.47927499,193,0.0001058387861121446,0.4741206467151642,0.00020106717420276252,0.5145967006683351,-0.09128656420426376,2.2531962394714355,0.2572152713535697,0.005
16.0,0.012120948540297227,8,88,565.6572332555404,6844.783337329998,587,-4.6998688048915944e-05,0.34848204255104065,0.0004932523588649929,0.2583755850791931,-577.2193270232527,6.0040626525878915,0.11009517945985295,0.012924071082390954
30.0,0.0,1,2,0.0,2128.3742123600005,110,-4.012238059658557e-05,0.3838459551334381,0.00018086041382048282,0.7554053664207458,0.0,1.819881081581116,0.0,0.008620689655172414
18.0,0.002954035990139795,9,18,223.57396903321361,2779.2178377,208,-0.00015220549539662898,0.4096930325031281,0.0004431025590747595,0.2535562217235565,-241.91196418882257,7.438690185546875,0.0543510440574953,0.04128440366972477
34.0,0.0,1,2,0.0,3567.684557429999,342,0.000299236795399338,0.6027016043663025,0.0004584568669088185,0.1454535573720932,-45.30356174290363,5.058404445648193,0.0,0.002793296089385475
9.0,0.01642053837746209,163,9187,466.8457861060341,8707.776448539998,875,-0.00016653585771564394,0.48110231757164,0.0007758538122288883,0.30427175760269165,-350.2930378192534,4.00689172744751,0.12814264855020788,0.16943866943866945
26.0,0.017800271039824882,144,1981,365.5408454222611,8153.299210540001,804,0.00020127542666159568,0.4746787250041962,0.0006452616071328522,0.2447380125522613,-1143.0730346833357,10.542243003845217,0.13341765640208525,0.17041420118343195
14.0,0.00865013763191042,36,359,277.98292240392817,7725.3338258600015,725,0.0003341337142046541,0.3513476550579071,0.00047519407235085964,0.2973555326461792,-1064.3239862261607,7.726046085357666,0.09300611609948252,0.04736842105263158
13.0,0.01328331188697349,42,405,224.03498500949794,6547.34377018,572,0.0002961622667498886,0.3496886193752289,0.000523483380675316,0.13236890733242035,-310.4606077804148,5.8149166107177725,0.11525325109068937,0.07179487179487179
22.0,0.018590573083321616,5,63,139.07649116264128,5238.24652856,314,0.0006248436402529478,0.4496738612651825,0.0003418446867726743,0.4911433458328247,-4178.55674017818,16.398849487304688,0.13634725183633742,0.015772870662460567
5.0,0.0160436769439699,100,2882,226.99195616092484,5609.435419269998,381,0.0008114043739624321,0.31955215334892273,0.0007844691281206906,0.24216629564762115,-3719.0334048421696,8.357515335083008,0.12666363702329844,0.24875621890547264
12.0,0.00792153595551434,3,7,128.88649884466108,5063.06851867,323,0.00015776323562022299,0.182038351893425,0.0013557891361415384,0.529508113861084,-111.23211058181313,2.6676511764526367,0.08900301093510454,0.009009009009009009
17.0,0.01953821129615626,7,37,649.2161288716596,4506.20732242,250,0.0002535002131480724,0.2200846821069717,0.0020892182365059853,0.5526255965232849,-1038.1322692347703,6.130305767059326,0.1397791518652058,0.026717557251908396
3.0,0.02848889523040117,22,193,161.0451400041957,5251.659807389999,344,8.005424751900135e-05,0.39694806933403015,0.0008176366100087763,0.4219785928726196,-4158.36800907544,8.53190803527832,0.16878653746789515,0.06285714285714286
6.0,0.0030761576844832595,2,9,71.20694462598838,1182.9007676200001,46,0.0005759174819104372,0.2621504664421081,0.0011139540001749992,0.19530309736728668,-775.8721775736702,12.043209075927734,0.05546312003920496,0.041666666666666664
27.0,0.016213635286360325,76,1239,177.7272375095139,5908.529942630002,426,-0.0001539008371764794,0.37877681851387024,0.0011883658589795232,0.477331280708313,-1970.0605056787451,12.998153686523438,0.1273327738108313,0.17391304347826086
2.0,0.010836623771405696,17,239,121.48369447366731,4666.0362597700005,326,2.061743771264446e-06,0.3066900968551636,0.0011833352036774158,0.5217354297637941,-315.5663874180036,6.013411045074463,0.10409910552644387,0.05089820359281437
4.0,0.00913696384586336,33,497,313.6344209726294,3495.046182050001,174,3.071175524382852e-05,0.24936389923095706,0.0017577077960595489,0.6850691437721252,-532.2185886116016,11.116652488708496,0.09558746699156412,0.1896551724137931
11.0,0.0,1,2,50.3492262324451,2673.9385800999994,100,0.0001497862976975739,0.0939461886882782,0.002690904540941119,0.5652778148651123,-2077.312120445344,11.032623291015623,0.0,0.009433962264150943
23.0,0.009008930632377142,26,430,70.52404887177717,6335.6770662300005,429,0.0003232406743336469,0.2542461156845093,0.0010760178556665778,0.5457809567451477,-430.84953691988466,4.478557109832764,0.09491538669982408,0.060324825986078884
15.0,0.01183945059258862,50,541,803.3786419554448,4339.126417570001,300,0.0004046941758133471,0.16590046882629395,0.0041876742616295815,0.9460721611976624,-2561.8936084242473,13.782217025756836,0.10880923946333151,0.16286644951140064
28.0,0.002749098849195245,13,46,4.688561104858899,4312.2793455,252,0.00034014286939054733,0.31514889001846313,0.00218751491047442,0.6554926633834839,-4687.3607189208315,15.570137977600098,0.05243184956870438,0.05138339920948617
32.0,0.0,1,2,0.0,1766.0514118499998,53,-0.00013430550461634996,0.3961900770664215,0.0011410886654630306,0.4574344456195831,-1342.1144278606967,19.984500885009766,0.0,0.018518518518518517
25.0,0.01579304204677212,72,1027,802.4824244971956,3978.85619272,287,0.0002164636098314077,0.1226506009697914,0.0030385046266019344,1.049873113632202,-284.2879412468464,3.4897396564483643,0.12567037060012246,0.25
1.0,0.010645853543972525,78,2319,689.0791536240604,3967.7707072900002,283,0.0001813265698729083,0.12105845659971234,0.004592587240040302,1.184375882148743,-172.265951372549,1.6158708333969116,0.10317874560185603,0.2746478873239437
19.0,0.0138876102682143,11,38,340.38732325280506,3284.4931735900004,191,0.0001958253124030307,0.1081884354352951,0.002626911969855428,0.8845905661582947,-411.54528554753364,6.403331756591798,0.11784570534480372,0.05699481865284974
24.0,0.030211464121475483,22,116,379.4669960598634,3777.72750959,243,0.0002623246691655368,0.1469678431749344,0.0017864116234704852,0.6793404221534729,-593.1838339088323,4.233330726623535,0.17381445314321672,0.08979591836734693
