,xC,yC,GD,stdGD,mammalTaxa,mammalSeqs,meanSeqs,Dist,PD,nTaxa,GlobalExtreme_prTrendExt,GlobalExtreme_prVarExt,GlobalExtreme_tsTrendExt,GlobalExtreme_tsVarExt,kk10,HFP2009,GDsqrt,TaxonComplete
77,125.99998334712134,76.89158217528635,0.0030911901081916537,0.0,1,2.0,2.0,0.0,879.28086772,21,0.00015317922225221992,0.06866498291492462,0.0025728046894073486,0.9249781966209412,0.0,0.10528480301316097,0.05559847217497666,0.047619047619047616
93,-170.00000054421173,67.18696003166733,0.0005863383172090296,0.0,1,3.0,3.0,160.43773146078092,1037.9996664500002,32,9.052293899003415e-05,0.12993896007537842,0.0012711088638752699,1.427417874336243,0.0,1.376925822813263,0.0242144237430716,0.03125
94,-166.00000076189642,67.18696003166733,0.0020032826032584973,0.0014399023215683566,2,15.0,7.5,0.0,1065.47700904,29,0.000100178258435335,0.11901189386844635,0.0014924384886398911,1.4692713022232056,0.0,0.6232405301714279,0.044758045123290374,0.06896551724137931
95,-162.00000097958105,67.18696003166733,0.002631578947368421,0.0,1,4.0,4.0,165.4175249172117,1186.08280423,36,0.00010599497181829064,0.11257804185152054,0.0017101836856454609,1.4942705631256104,0.0,0.2461079627237004,0.051298917604257706,0.027777777777777776
96,-158.00000119726576,67.18696003166733,0.004318085029697458,0.002780289317310075,3,11.0,3.6666666666666665,0.0,1286.37485732,39,0.00010485480015631764,0.11503984034061432,0.0017758128233253954,1.5862457752227783,0.0,0.3309027008052673,0.06571213761321007,0.07692307692307693
97,-154.00000141495045,67.18696003166733,0.0037782383094724747,0.0,1,19.0,19.0,0.0,1415.5023102199998,42,0.00011317117605358362,0.11514253169298172,0.0018869457999244328,1.6125855445861816,0.0,0.2966505739793447,0.06146737597679337,0.023809523809523808
98,-150.00000163263513,67.18696003166733,0.003020828245050959,0.001748344404463333,4,64.0,16.0,51.75854379073807,1426.4412261999998,44,0.00011212441313546152,0.11314138770103455,0.0020308704115450387,1.6103854179382324,0.0,0.938048975513362,0.054962061870448047,0.09090909090909091
99,-146.00000185031982,67.18696003166733,0.0027297812443757173,0.00406277248764034,5,19.0,3.8,23.44432732664667,1431.6247226899998,45,0.00011719594476744531,0.10780579596757887,0.0021073250100016594,1.5980957746505735,0.0,0.4540463188815434,0.05224730848929653,0.1111111111111111
100,-142.0000020680045,67.18696003166733,0.008771929824561403,0.0,1,2.0,2.0,94.63805108833262,1431.6247226899998,45,0.00012856214016210288,0.10690144449472427,0.0020178998820483685,1.604714035987854,0.0,0.09851792706372656,0.0936585811581694,0.022222222222222223
101,-138.00000228568916,67.18696003166733,0.002254791431792559,0.0,1,2.0,2.0,0.0,1452.36161869,45,0.00014283206837717444,0.10348143428564073,0.0017461273819208145,1.5924186706542969,0.0,0.23785574607448165,0.04748464416832624,0.022222222222222223
130,-22.00000859854514,67.18696003166733,0.0013157894736842105,0.0,1,4.0,4.0,87.10397153984815,601.85575595,8,0.00035460403887555003,0.17851793766021729,0.006704607512801886,1.2986972332000732,0.0,3.4830281429114947,0.03627381250550058,0.125
131,-18.000008816229833,67.18696003166733,0.0017543859649122807,0.0,1,2.0,2.0,206.4749647603867,375.84575595,4,0.00021675296011380849,0.1685541272163391,0.005704008508473636,1.4729244709014893,0.0,1.885563149623964,0.041885390829169554,0.25
140,17.999989224607944,67.18696003166733,0.002225710123321328,0.001671713032551005,3,17.0,5.666666666666667,62.66997046097629,1357.9522899999995,38,0.00036794415791518986,0.11031077802181244,0.004412238486111164,1.466356635093689,0.0,3.1888113825350897,0.0471774323519342,0.07894736842105263
141,21.99998900692325,67.18696003166733,0.0008898067104871213,0.0012583767178614771,3,25.0,8.333333333333334,53.29659202502889,1567.14462906,46,0.00034200304071418936,0.10283131152391434,0.004737628623843193,1.4307594299316406,0.0,4.432077489722391,0.02982962806484723,0.06521739130434782
142,25.999988789238557,67.18696003166733,0.008541356577280985,0.006464255026742944,3,20.0,6.666666666666667,125.79797587680332,1513.3260020499997,43,0.000315033714286983,0.10576062649488448,0.005022858735173941,1.4181498289108276,0.0,3.5582638360011014,0.09241945994908748,0.06976744186046512
143,29.99998857155387,67.18696003166733,0.012391044186181949,0.014462196492655725,3,9.0,3.0,22.839498203488773,1562.26909502,45,0.00031695031793788075,0.1096297651529312,0.005227747373282909,1.4017765522003174,0.0,2.631711305809508,0.11131506720198281,0.06666666666666667
144,33.99998835386917,67.18696003166733,0.020927182264432475,0.019073182868978144,2,36.0,18.0,83.25083316149274,1397.0710079499997,40,0.0003102606860920787,0.11622247844934465,0.00524823646992445,1.396489500999451,0.0,3.012538628723292,0.1446623042275785,0.04878048780487805
