seq,species,y,x
JQ600752,Peromyscus_mexicanus,10.217,-84.333
JQ600753,Peromyscus_mexicanus,10.217,-84.333
JQ600754,Peromyscus_mexicanus,10.217,-84.333
JQ600755,Peromyscus_mexicanus,10.25,-84.367
JQ600756,Peromyscus_mexicanus,10.25,-84.367
JQ600757,Peromyscus_mexicanus,10.25,-84.367
JQ600758,Peromyscus_mexicanus,10.25,-84.367
JQ600759,Peromyscus_mexicanus,10.25,-84.367
JQ600760,Peromyscus_mexicanus,10.25,-84.367
JQ600761,Peromyscus_mexicanus,10.25,-84.367
JQ600762,Peromyscus_mexicanus,10.25,-84.367
JQ600763,Peromyscus_mexicanus,10.25,-84.367
JQ600764,Peromyscus_mexicanus,10.25,-84.367
JQ600765,Peromyscus_mexicanus,10.183,-84.23299999999999
JQ600766,Peromyscus_mexicanus,10.183,-84.23299999999999
JQ600767,Peromyscus_mexicanus,10.183,-84.23299999999999
JQ600768,Peromyscus_mexicanus,10.183,-84.23299999999999
