,xC,yC,GD,stdGD,mammalTaxa,mammalSeqs,meanSeqs,Dist,PD,nTaxa,GlobalExtreme_prTrendExt,GlobalExtreme_prVarExt,GlobalExtreme_tsTrendExt,GlobalExtreme_tsVarExt,kk10,HFP2009,GDsqrt,TaxonComplete
14,-126.00000293874324,76.89158217528635,0.0,0.0,1,8.0,8.0,0.0,610.4240126499999,9,9.985448559746146e-05,0.06294721364974976,0.003544426755979657,1.3604799509048462,0.0,8.026326350429408e-05,0.0,0.1111111111111111
16,-118.00000337411257,76.89158217528635,0.0009722816954517096,0.0,1,21.0,21.0,0.0,639.5613293200001,11,0.00011103183351224287,0.06876854598522186,0.00474643986672163,1.301676869392395,0.0,0.0,0.031181431901882082,0.09090909090909091
17,-114.0000035917973,76.89158217528635,0.00100277553943952,0.00100277553943952,2,37.0,18.5,0.0,639.5613293200001,11,0.0001045194294420071,0.0708078145980835,0.0051050796173512936,1.283333420753479,0.0,0.0,0.03166663132446393,0.18181818181818182
21,-98.000004462536,76.89158217528635,0.0008569070429096405,0.0,1,21.0,21.0,0.0,798.73578672,14,0.00013944432430434972,0.06310691684484482,0.006179112009704113,1.251136064529419,0.0,0.0,0.0292729746166945,0.07142857142857142
22,-94.00000468022067,76.89158217528635,0.00047673577463479153,0.0,1,46.0,46.0,2.915147431491914,798.73578672,14,0.00013760312867816538,0.06037909910082818,0.0064517189748585215,1.2373636960983276,0.0,0.01492494938694041,0.021834279805727313,0.07142857142857142
24,-86.00000511559006,76.89158217528632,0.0012697786153983686,0.0,1,52.0,52.0,272.1828452871343,623.00579495,10,0.0001322654425166547,0.054418269544839866,0.0070348731242120275,1.1941373348236084,0.0,0.03791095698605602,0.03563395312617404,0.1
25,-82.00000533327477,76.89158217528632,0.001328478571211615,0.0,1,11.0,11.0,0.0,623.00579495,10,0.0001347145589534193,0.051650617271661765,0.007280750665813683,1.150188446044922,0.0,0.05472537040867975,0.03644829997697581,0.1
26,-78.00000555095944,76.89158217528632,0.0011279672750187284,0.00019116007150587837,2,19.0,9.5,0.0,623.00579495,10,0.00014295667642727494,0.04934222623705864,0.007488662376999855,1.0931831598281858,0.0,0.020126010001363773,0.03358522405789082,0.2
99,-146.00000185031982,67.18696003166733,0.0,0.0,1,2.0,2.0,0.0,1431.6247226899998,45,0.00011719594476744531,0.10780579596757887,0.0021073250100016594,1.5980957746505735,0.0,0.4540463188815434,0.0,0.022222222222222223
107,-114.0000035917973,67.18696003166733,0.0,0.0,1,4.0,4.0,0.0,1133.91949205,35,0.00010754794493550436,0.1201542392373085,0.001919262926094234,1.3208571672439575,0.0,0.009640778214779912,0.0,0.02857142857142857
